DropOut (group),DistanceToHanoi,DOB - Year (group),EntryGrade (group),Gender,Major (group),NumOfCheating,AttendanceRate,CoursePassRate,EnglishAverageGrade,FinalAverageGrade,Gain5-6GradeRate,Gain7-8GradeRate,Gain9-10GradeRate,LargerstTimeFailASubject,NumOfCourse/StudyYears,ReExamRate,ReStudyRate,TotalYearsStudy
0,0,1988,100,1,1,0,0.670431894,0.8,6.27,6.235,0.15,0.1,0.2,1,12.5,0.25,0.176470588,1.6
0,0,1988,100,1,1,0,0.870139969,1,6.63,8.273333333,0.066666667,0.4,0.466666667,0,16.29464286,0.133333333,0,0.920547945
0,0,1989,100,1,1,0,0.826799715,0.9375,7.17,7.725,0,0.3125,0.125,1,17.38095238,0.0625,0.066666667,0.920547945
0,0,1988,100,0,1,0,0.866226546,1,7.37,9.214285714,0,0,0.714285714,0,15.34534535,0,0,0.912328767
0,0,1987,100,0,1,0,0.849350649,0.941176471,6.13,8.176470588,0,0.176470588,0.352941176,0,18.46726191,0.058823529,0,0.920547945
0,109,1988,100,1,1,0,0.762016807,1,5.77,7.45,0.125,0.3125,0.125,0,17.38095238,0,0,0.920547945
0,0,1988,100,1,1,0,0.793301435,1,6.1,7.853846154,0,0.615384615,0.153846154,0,13.95588235,0,0,0.931506849
0,103,1988,100,1,1,0,0.794665538,1,6.13,8.09375,0.125,0.25,0.4375,0,17.17647059,0.0625,0,0.931506849
0,0,1988,100,1,1,0,0.891153082,1,6.53,7.846153846,0,0.692307692,0.230769231,0,13.95588235,0.076923077,0,0.931506849
0,0,1988,100,1,1,0,0.877202797,1,5.9,8.423529412,0,0.235294118,0.411764706,0,18.30383481,0.117647059,0,0.928767123
0,316,1986,100,0,1,0,0.734643735,0.866666667,6.27,7.08,0.066666667,0.2,0.2,1,16.10294118,0.133333333,0.153846154,0.931506849
0,49,1988,100,1,1,0,0.603938115,1,6.23,8.129411765,0.058823529,0.352941176,0.352941176,0,13.51851852,0,0,1.257534247
0,0,1988,100,1,1,0,0.651116295,0.9375,6.6,8.0875,0.0625,0.25,0.5,0,17.17647059,0.1875,0,0.931506849
0,0,1988,100,1,1,0,0.776226734,0.933333333,6.83,7.853333333,0.066666667,0.2,0.333333333,1,16.10294118,0.133333333,0.071428571,0.931506849
0,0,1989,100,1,1,0,0.949341439,1,7.47,8.728571429,0.071428571,0.071428571,0.5,0,15.02941177,0,0,0.931506849
0,0,1988,100,0,1,0,0.916774194,1,7.6,8.84375,0,0.1875,0.5625,0,12.7510917,0,0,1.254794521
0,0,1988,100,0,1,0,0.884778912,0.923076923,7.17,8.207692308,0,0.230769231,0.538461538,0,22.5952381,0.076923077,0,0.575342466
0,109,1988,100,1,1,0,0.504424779,1,5.93,7.807692308,0.153846154,0.230769231,0.153846154,0,3.796,0.153846154,0,3.424657534
0,65,1988,100,0,1,0,0.93885474,1,6.67,8.766666667,0,0.2,0.6,0,16.10294118,0,0,0.931506849
0,41,1988,100,1,1,0,0.71753353,1,5.73,7.123809524,0.19047619,0.333333333,0.095238095,0,12.22488038,0.047619048,0,1.717808219
0,90,1988,100,1,1,0,0.663629993,0.823529412,6.67,6.694117647,0.117647059,0.294117647,0.058823529,0,4.351332398,0.176470588,0,3.906849315
0,87,1988,100,1,1,0,0.627687582,0.95,6.4,7.455,0.1,0.5,0.1,1,15.90413943,0.05,0.052631579,1.257534247
0,0,1988,100,1,1,0,0.890570934,1,6.3,8.523076923,0,0.230769231,0.384615385,0,14.12202381,0.076923077,0,0.920547945
0,0,1988,100,1,1,0,0.971290323,0.933333333,7.77,8.486666667,0,0.066666667,0.666666667,0,16.44144144,0,0,0.912328767
0,122,1988,100,1,1,0,0.717989002,1,6.7,8.225,0.125,0.125,0.4375,0,17.17647059,0.0625,0,0.931506849
0,0,1988,100,1,1,0,0.916447944,1,6.7,8.838461538,0,0.153846154,0.461538462,0,14.12202381,0,0,0.920547945
0,80,1988,100,1,1,0,0.573259147,0.791666667,6.03,6.091666667,0.25,0.333333333,0.041666667,1,5.666235446,0.125,0.090909091,4.235616438
0,93,1988,100,0,1,0,0.882153933,1,7.53,8.735294118,0,0.235294118,0.588235294,0,18.46726191,0.117647059,0,0.920547945
0,0,1988,51,0,1,0,0.539725741,0.71875,6,5.315625,0.15625,0.15625,0.03125,3,11.1132255,0.25,0.230769231,2.879452055
0,0,1988,43,1,1,0,0.868708452,1,6,7.355555556,0.166666667,0.277777778,0.166666667,0,19.55357143,0.111111111,0,0.920547945
0,0,1988,49,1,1,0,0.540934419,0.80952381,6.13,7.147619048,0.095238095,0.238095238,0.19047619,2,22.54411765,0.142857143,0.166666667,0.931506849
0,145,1987,68,1,1,0,0.539755126,0.875,5.83,6.591666667,0.333333333,0.166666667,0.166666667,1,11.2596401,0.166666667,0.043478261,2.131506849
0,0,1988,66,1,1,0,0.647047619,0.85,6.13,6.92,0.2,0.25,0.2,1,21.47058824,0.15,0.176470588,0.931506849
0,0,1988,60,1,1,0,0.768321381,0.568181818,5.6,4.481818182,0.181818182,0.113636364,0,4,13.16393443,0.431818182,0.466666667,3.342465753
0,0,1988,42,1,1,0,0.86026014,0.8125,5.37,6.35625,0.15625,0.3125,0.03125,1,12.04123711,0.1875,0.185185185,2.657534247
0,0,1988,46,0,1,0,0.794745484,1,6.83,8.293333333,0,0.333333333,0.4,0,13.19277108,0.066666667,0,1.136986301
0,0,1987,52,1,1,0,0.899729912,0.9375,5.97,7.30625,0.125,0.3125,0.0625,0,17.38095238,0.1875,0,0.920547945
0,0,1985,42,1,1,0,0.613845609,0.904761905,6.03,7.295238095,0.095238095,0.19047619,0.238095238,2,13.14751286,0.142857143,0.105263158,1.597260274
0,125,1988,49,1,1,0,0.621813031,0.894736842,5.63,7.052631579,0.157894737,0.157894737,0.210526316,2,20.39705882,0.157894737,0.117647059,0.931506849
